concept_label_group,accuracy,precision,recall,f1,num_records,support,group_count
laboratory value,0.011004126547455296,0.017456992978903234,0.011004126547455296,0.010954513644371028,1765989,2181,275
medication,0.0013882461823229986,0.0026839426191577974,0.0013882461823229986,0.0017738701218571649,132262,2161,443
respiratory,0.012567324955116697,0.029308797127468585,0.012567324955116697,0.012606314491413237,36804984,557,109
hemodynamics,0.002849002849002849,0.007122507122507123,0.002849002849002849,0.004070004070004071,16383243,351,60
fluid balance,0.0,0.0,0.0,0.0,829916,326,25
infectiology,0.008333333333333333,0.058333333333333334,0.008333333333333333,0.014583333333333334,1763354,120,27
renal replacement therapy,0.0,0.0,0.0,0.0,1229422,109,28
neurology,0.0,0.0,0.0,0.0,127101,94,14
clinical score,0.0,0.0,0.0,0.0,1033625,87,26
sofa score,0.0,0.0,0.0,0.0,235894,60,27
demographics,0.0,0.0,0.0,0.0,24079,47,9
position,0.0,0.0,0.0,0.0,56456,39,1
nice data,0.05263157894736842,0.10526315789473684,0.05263157894736842,0.07017543859649122,1919,38,29
lda,0.0,0.0,0.0,0.0,1369,30,6
admission information,0.0,0.0,0.0,0.0,2349,11,5
