ehr_name,hospital_name,relevance,accuracy,precision,recall,f1,num_records,support,group_count
EPIC,etz,zoverall,0.003,0.001,0.003,0.001,915700,1118,483
EPIC,etz,relevant,0.003,0.001,0.003,0.001,915700,1118,483
EPIC,spaarnegasthuis,zoverall,0.003,0.008,0.003,0.004,439240,935,431
EPIC,spaarnegasthuis,relevant,0.003,0.008,0.003,0.004,439240,935,431
EPIC,vumc,zoverall,0.006,0.008,0.006,0.006,3361628,1725,724
EPIC,vumc,relevant,0.006,0.008,0.006,0.006,3361628,1725,724
HIX,franciscus,zoverall,0.000,0.000,0.000,0.000,601113,1076,527
HIX,franciscus,relevant,0.000,0.000,0.000,0.000,601113,1076,527
MV,maasstad,zoverall,0.008,0.016,0.008,0.010,27427133,385,280
MV,maasstad,relevant,0.008,0.016,0.008,0.010,27427133,385,280
MV,mst,zoverall,0.002,0.017,0.002,0.004,26083808,471,356
MV,mst,relevant,0.002,0.017,0.002,0.004,26083808,471,356
