,concept_label,precision,recall,f1,support,accuracy,num_records,concept_label_group,relevance
0,lda_catheter_arterial,0.0,0.0,0.0,3,0.0,662,lda,relevant
1,lda_catheter_central_venous,0.0,0.0,0.0,8,0.0,497,lda,relevant
2,lda_catheter_cvvh,0.0,0.0,0.0,4,0.0,55,lda,relevant
3,lda_catheter_picc,0.0,0.0,0.0,5,0.0,16,lda,relevant
4,lda_canula_tracheal,0.0,0.0,0.0,9,0.0,137,lda,relevant
5,saturation_o2_peripheral,0.0,0.0,0.0,21,0.0,77681,respiratory,relevant
6,height_measured,0.0,0.0,0.0,8,0.0,4509,demographics,relevant
7,nibp_mean,0.0,0.0,0.0,8,0.0,33612,hemodynamics,relevant
8,fluid_out_blood_loss,0.0,0.0,0.0,8,0.0,51,fluid balance,relevant
9,heart_rate_unspecified,0.0,0.0,0.0,38,0.0,2448778,hemodynamics,relevant
10,nibp_systolic,0.0,0.0,0.0,2,0.0,10315,hemodynamics,relevant
11,gcs_eye,0.0,0.0,0.0,9,0.0,14388,neurology,relevant
12,gcs_motor,0.0,0.0,0.0,10,0.0,15143,neurology,relevant
13,weight_text,0.0,0.0,0.0,1,0.0,13,demographics,relevant
14,access_pressure_cvvh,0.0,0.0,0.0,9,0.0,87116,renal replacement therapy,relevant
15,fluid_in_tube,0.0,0.0,0.0,11,0.0,81894,fluid balance,relevant
16,peep_set,0.0,0.0,0.0,10,0.0,1012122,respiratory,relevant
17,microbiology,0.0,0.0,0.0,645,0.0,19274,laboratory value,relevant
18,ideal_body_weight,0.0,0.0,0.0,12,0.0,6763,demographics,relevant
19,bmi,0.0,0.0,0.0,11,0.0,9561,demographics,relevant
20,nibp_unspecified,0.0,0.0,0.0,9,0.0,22577,hemodynamics,relevant
21,pulse_rate_monitor,0.0,0.0,0.0,2,0.0,72040,hemodynamics,relevant
22,fluid_out_urine,0.0,0.0,0.0,13,0.0,112273,fluid balance,relevant
23,fluid_in_blood_products,0.0,0.0,0.0,8,0.0,584,fluid balance,relevant
24,arterial_bp_unspecified,0.0,0.0,0.0,9,0.0,52337,hemodynamics,relevant
25,central_venous_pressure,0.0,0.0,0.0,6,0.0,128154,hemodynamics,relevant
26,respiratory_rate_set,0.0,0.0,0.0,13,0.0,1270559,respiratory,relevant
27,tidal_volume_set,0.0,0.0,0.0,5,0.0,21116,respiratory,relevant
28,minute_volume_expiratory,0.0,0.0,0.0,13,0.0,1736619,respiratory,relevant
29,pupil_reflex_left,0.0,0.0,0.0,6,0.0,11749,neurology,relevant
30,pupil_diameter_left,0.0,0.0,0.0,6,0.0,11206,neurology,relevant
31,pupil_reflex_right,0.0,0.0,0.0,6,0.0,11690,neurology,relevant
32,pupil_diameter_right,0.0,0.0,0.0,7,0.0,11127,neurology,relevant
33,heart_rhythm_text,0.0,0.0,0.0,29,0.0,67828,hemodynamics,relevant
34,fio2_nice,0.0,0.0,0.0,3,0.0,23119,respiratory,relevant
35,fio2_set,0.0,0.0,0.0,10,0.0,1198955,respiratory,relevant
36,fluid_out_cvvh_dialysis,0.0,0.0,0.0,17,0.0,4476,fluid balance,relevant
37,fluid_in_parenteral_nutrition,0.0,0.0,0.0,2,0.0,1555,fluid balance,relevant
38,fluid_in_iv_infusion_and_medications,0.0,0.0,0.0,79,0.0,179267,fluid balance,relevant
39,intrinsic_peep_measured,0.0,0.0,0.0,4,0.0,6287,respiratory,relevant
40,flow_trigger_set,0.0,0.0,0.0,8,0.0,1506384,respiratory,relevant
41,vent_mode,0.09090909090909091,0.043478260869565216,0.0588235294117647,23,0.043478260869565216,1095639,respiratory,relevant
42,pain_score_vas,0.0,0.0,0.0,4,0.0,6429,clinical score,relevant
43,rass_score,0.0,0.0,0.0,5,0.0,20198,neurology,relevant
44,cam_icu_score_q1,0.0,0.0,0.0,2,0.0,6084,clinical score,relevant
45,cam_icu_score_q2,0.0,0.0,0.0,2,0.0,4956,clinical score,relevant
46,cam_icu_score_q3,0.0,0.0,0.0,2,0.0,9161,clinical score,relevant
47,cam_icu_score_q4,0.0,0.0,0.0,2,0.0,5460,clinical score,relevant
